start,code,year,flfp,time,timec
40.1,MDV,2025,43.2,397.286496527208,407.286496527208
40.1,MDV,2021,39.7,397.286496527208,403.286496527208
40.1,MDV,2015,40.1,397.286496527208,397.286496527208
40.1,MDV,2016,40.5,397.286496527208,398.286496527208
40.1,MDV,2020,38.8,397.286496527208,402.286496527208
40.1,MDV,2019,42.5,397.286496527208,401.286496527208
40.1,MDV,2018,42.1,397.286496527208,400.286496527208
40.2,PRI,2025,50.6,397.741041981754,407.741041981754
40.2,PRI,2015,40.2,397.741041981754,397.741041981754
40.2,PRI,2019,43.6,397.741041981754,401.741041981754
40.2,PRI,2023,49.1,397.741041981754,405.741041981754
40.2,PRI,2020,44.6,397.741041981754,402.741041981754
40.2,PRI,2021,47.4,397.741041981754,403.741041981754
40.2,PRI,2024,50,397.741041981754,406.741041981754
40.2,PRI,2016,40.9,397.741041981754,398.741041981754
40.2,PRI,2022,48.3,397.741041981754,404.741041981754
40.2,PRI,2018,42.9,397.741041981754,400.741041981754
40.2,PRI,2017,41.8,397.741041981754,399.741041981754
41.8,TKM,2024,41.4,NA,NA
41.8,TKM,2025,41.5,NA,NA
41.8,TKM,2023,41.1,NA,NA
41.8,TKM,2017,41.5,NA,NA
41.8,TKM,2018,41.4,NA,NA
41.8,TKM,2016,41.7,NA,NA
41.8,TKM,2022,41.2,NA,NA
41.8,TKM,2021,40.5,NA,NA
41.8,TKM,2019,41.3,NA,NA
41.8,TKM,2020,40.1,NA,NA
41.8,TKM,2015,41.8,NA,NA
42.4,FJI,2016,40.8,NA,NA
42.4,FJI,2017,40.8,NA,NA
42.4,FJI,2018,40.9,NA,NA
42.4,FJI,2019,41,NA,NA
42.4,FJI,2020,38.6,NA,NA
42.4,FJI,2021,39,NA,NA
42.4,FJI,2022,40.9,NA,NA
42.4,FJI,2023,41.2,NA,NA
42.4,FJI,2024,41.3,NA,NA
42.4,FJI,2025,41.3,NA,NA
42.4,FJI,2015,42.4,NA,NA
42.7,UZB,2020,42.8,409.10467834539,414.10467834539
42.7,UZB,2021,43.4,409.10467834539,415.10467834539
42.7,UZB,2017,43.1,409.10467834539,411.10467834539
42.7,UZB,2019,43.6,409.10467834539,413.10467834539
42.7,UZB,2015,42.7,409.10467834539,409.10467834539
42.7,UZB,2016,42.9,409.10467834539,410.10467834539
42.7,UZB,2025,45.8,409.10467834539,419.10467834539
42.7,UZB,2018,43.3,409.10467834539,412.10467834539
42.7,UZB,2022,45.2,409.10467834539,416.10467834539
42.7,UZB,2023,45.5,409.10467834539,417.10467834539
42.7,UZB,2024,45.7,409.10467834539,418.10467834539
43.2,GAB,2019,43.7,411.377405618117,415.377405618117
43.2,GAB,2021,41.4,411.377405618117,417.377405618117
43.2,GAB,2023,43.6,411.377405618117,419.377405618117
43.2,GAB,2020,40.7,411.377405618117,416.377405618117
43.2,GAB,2022,43.6,411.377405618117,418.377405618117
43.2,GAB,2017,43.5,411.377405618117,413.377405618117
43.2,GAB,2015,43.2,411.377405618117,411.377405618117
43.2,GAB,2018,43.7,411.377405618117,414.377405618117
43.2,GAB,2024,43.6,411.377405618117,420.377405618117
43.2,GAB,2016,43.4,411.377405618117,412.377405618117
43.2,GAB,2025,43.4,411.377405618117,421.377405618117
44.4,WSM,2015,44.4,NA,NA
44.4,WSM,2017,44.4,NA,NA
44.4,WSM,2016,44.4,NA,NA
44.4,WSM,2018,42.3,NA,NA
44.4,WSM,2023,33.8,NA,NA
44.4,WSM,2021,36.2,NA,NA
44.4,WSM,2024,33.9,NA,NA
44.4,WSM,2019,40.3,NA,NA
44.4,WSM,2020,38,NA,NA
44.4,WSM,2022,33.8,NA,NA
44.4,WSM,2025,33.5,NA,NA
45.1,BHR,2020,43.1,420.121994362706,425.121994362706
45.1,BHR,2017,45.3,420.121994362706,422.121994362706
45.1,GUY,2024,51.5,420.121994362706,429.121994362706
45.1,BHR,2015,45.1,420.121994362706,420.121994362706
45.1,GUY,2022,48.7,420.121994362706,427.121994362706
45.1,GUY,2025,51.7,420.121994362706,430.121994362706
45.1,GUY,2020,43.4,420.121994362706,425.121994362706
45.1,BHR,2021,43.3,420.121994362706,426.121994362706
45.1,BHR,2023,44.7,420.121994362706,428.121994362706
45.1,BHR,2016,45.2,420.121994362706,421.121994362706
45.1,GUY,2021,43.9,420.121994362706,426.121994362706
45.1,BHR,2024,44.9,420.121994362706,429.121994362706
45.1,GUY,2023,50.4,420.121994362706,428.121994362706
45.1,BHR,2022,44.4,420.121994362706,427.121994362706
45.1,GUY,2015,45.1,420.121994362706,420.121994362706
45.1,BHR,2025,44.8,420.121994362706,430.121994362706
45.1,BHR,2019,44.4,420.121994362706,424.121994362706
45.1,GUY,2019,44.3,420.121994362706,424.121994362706
45.1,BHR,2018,45,420.121994362706,423.121994362706
45.1,GUY,2018,47.4,420.121994362706,423.121994362706
45.1,GUY,2017,46.6,420.121994362706,422.121994362706
45.1,GUY,2016,45.9,420.121994362706,421.121994362706
45.5,GMB,2025,46.9,422.026756267468,432.026756267468
45.5,GMB,2015,45.5,422.026756267468,422.026756267468
45.5,GMB,2021,46.2,422.026756267468,428.026756267468
45.5,GMB,2023,46.6,422.026756267468,430.026756267468
45.5,GMB,2016,45.4,422.026756267468,423.026756267468
45.5,GMB,2024,46.8,422.026756267468,431.026756267468
45.5,GMB,2017,45.6,422.026756267468,424.026756267468
45.5,GMB,2020,46,422.026756267468,427.026756267468
45.5,GMB,2022,46.4,422.026756267468,429.026756267468
45.5,GMB,2019,46.2,422.026756267468,426.026756267468
45.5,GMB,2018,45.9,422.026756267468,425.026756267468
45.7,TON,2018,45.3,422.979137219848,425.979137219848
45.7,TON,2019,45.3,422.979137219848,426.979137219848
45.7,TON,2023,45.2,422.979137219848,430.979137219848
45.7,TON,2024,45.2,422.979137219848,431.979137219848
45.7,TON,2017,45.4,422.979137219848,424.979137219848
45.7,TON,2021,45.2,422.979137219848,428.979137219848
45.7,TON,2015,45.7,422.979137219848,422.979137219848
45.7,TON,2025,45,422.979137219848,432.979137219848
45.7,TON,2020,44.9,422.979137219848,427.979137219848
45.7,TON,2022,45.3,422.979137219848,429.979137219848
45.7,TON,2016,45.6,422.979137219848,423.979137219848
47,MEX,2018,47.4,429.169613410325,432.169613410325
47,MEX,2023,51.4,429.169613410325,437.169613410325
47,MEX,2024,51.7,429.169613410325,438.169613410325
47,MEX,2022,50,429.169613410325,436.169613410325
47,MEX,2020,45.1,429.169613410325,434.169613410325
47,MEX,2015,47,429.169613410325,429.169613410325
47,MEX,2016,47.1,429.169613410325,430.169613410325
47,MEX,2021,48.4,429.169613410325,435.169613410325
47,MEX,2019,49,429.169613410325,433.169613410325
47,MEX,2025,51.9,429.169613410325,439.169613410325
47,MEX,2017,46.8,429.169613410325,431.169613410325
48.1,HND,2018,51.5,434.40770864842,437.40770864842
48.1,HND,2020,48.6,434.40770864842,439.40770864842
48.1,HND,2019,46.1,434.40770864842,438.40770864842
48.1,HND,2016,47.5,434.40770864842,435.40770864842
48.1,HND,2015,48.1,434.40770864842,434.40770864842
48.1,HND,2023,41.2,434.40770864842,442.40770864842
48.1,HND,2017,47,434.40770864842,436.40770864842
48.1,HND,2021,50.1,434.40770864842,440.40770864842
48.1,HND,2025,41.6,434.40770864842,444.40770864842
48.1,HND,2024,41.5,434.40770864842,443.40770864842
48.1,HND,2022,45.6,434.40770864842,441.40770864842
48.3,SLV,2018,48.4,NA,NA
48.3,SLV,2019,49.7,NA,NA
48.3,SLV,2020,46.8,NA,NA
48.3,SLV,2021,48.9,NA,NA
48.3,SLV,2016,49.2,NA,NA
48.3,SLV,2017,48.5,NA,NA
48.3,SLV,2022,50.1,NA,NA
48.3,SLV,2023,52.5,NA,NA
48.3,SLV,2024,53.1,NA,NA
48.3,SLV,2025,53.3,NA,NA
48.3,SLV,2015,48.3,NA,NA
48.5,BIH,2020,48.2,436.312470553182,441.312470553182
48.5,BIH,2019,49.2,436.312470553182,440.312470553182
48.5,BIH,2022,50.7,436.312470553182,443.312470553182
48.5,BIH,2023,52.1,436.312470553182,444.312470553182
48.5,BIH,2018,49,436.312470553182,439.312470553182
48.5,BIH,2016,48.6,436.312470553182,437.312470553182
48.5,BIH,2015,48.5,436.312470553182,436.312470553182
48.5,BIH,2024,52.3,436.312470553182,445.312470553182
48.5,BIH,2025,52.5,436.312470553182,446.312470553182
48.5,BIH,2021,48.8,436.312470553182,442.312470553182
48.5,BIH,2017,48.9,436.312470553182,438.312470553182
48.8,SWZ,2015,48.8,NA,NA
48.8,SWZ,2016,49,NA,NA
48.8,SWZ,2017,49.2,NA,NA
48.8,SWZ,2018,49.5,NA,NA
48.8,SWZ,2019,49.7,NA,NA
48.8,SWZ,2020,49.2,NA,NA
48.8,SWZ,2021,49.8,NA,NA
48.8,SWZ,2022,49.9,NA,NA
48.8,SWZ,2025,51.2,NA,NA
48.8,SWZ,2023,50.8,NA,NA
48.8,SWZ,2024,51.1,NA,NA
48.8,GIN,2015,48.8,NA,NA
48.8,GIN,2017,46.2,NA,NA
48.8,GIN,2018,44.9,NA,NA
48.8,GIN,2019,43.6,NA,NA
